x,y,z,u,v,w,uvar,vvar,wvar
3,0,0.62162,0.62846488,-0.020120846,-0.37803174,0.059091828,0.037299025,0.023165399
3,0,0.62462,0.63338268,-0.019750419,-0.37736731,0.058355149,0.037543698,0.023237435
3,0,0.62763,0.63785469,-0.019404953,-0.37628448,0.057754688,0.037641105,0.023345119
3,0,0.63063,0.64192017,-0.019137145,-0.37481401,0.057263562,0.037586354,0.02347207
3,0,0.63363,0.64573069,-0.019001964,-0.37300825,0.056827161,0.037404327,0.023600878
3,0,0.63664,0.64950099,-0.019056302,-0.37094819,0.056371637,0.037145074,0.023713398
3,0,0.63964,0.65346839,-0.019348956,-0.36876883,0.055811185,0.03688117,0.023791415
3,0,0.64264,0.65795391,-0.019912284,-0.36661637,0.055044802,0.036689026,0.023821314
3,0,0.64565,0.66331275,-0.020754639,-0.36466691,0.053965257,0.036632108,0.023795166
3,0,0.64865,0.66984542,-0.021835261,-0.36314162,0.052482817,0.036731941,0.023715218
3,0,0.65165,0.67487242,-0.022798446,-0.36166093,0.051378839,0.036540454,0.023567458
3,0,0.65465,0.67947385,-0.024181587,-0.36019867,0.050366753,0.036483211,0.023446299
3,0,0.65766,0.68432387,-0.025858821,-0.35883431,0.049251298,0.036568499,0.023371221
3,0,0.66066,0.68916941,-0.02758244,-0.35752809,0.048112343,0.036653068,0.023338621
3,0,0.66366,0.69390873,-0.029198908,-0.35624258,0.046998855,0.036639649,0.023342433
3,0,0.66667,0.69851254,-0.030611617,-0.35495323,0.045943884,0.036467582,0.02337609
3,0,0.66967,0.70295518,-0.031752283,-0.3536579,0.044977749,0.036108998,0.023432206
3,0,0.67267,0.70728677,-0.032596544,-0.35234852,0.044109397,0.035559115,0.023503745
3,0,0.67568,0.71157022,-0.033135361,-0.35102166,0.043340453,0.034829173,0.023584287
3,0,0.67868,0.71582846,-0.033366336,-0.34969004,0.042673239,0.033950999,0.023667262
3,0,0.68168,0.72012109,-0.033298989,-0.3483546,0.042096995,0.032957353,0.023747777
3,0,0.68468,0.72448197,-0.032943034,-0.34702103,0.041599803,0.031886719,0.023821648
3,0,0.68769,0.72894538,-0.032306259,-0.34569014,0.041165797,0.030773639,0.023885879
3,0,0.69069,0.73348521,-0.031403456,-0.34437505,0.040781978,0.029660473,0.023937786
3,0,0.69369,0.73810443,-0.030244338,-0.34307453,0.040430988,0.028572526,0.02397617
3,0,0.6967,0.74279324,-0.028837593,-0.34178651,0.040097437,0.027527699,0.024000287
3,0,0.6997,0.74748352,-0.027210876,-0.34052116,0.03977246,0.026545498,0.024009558
3,0,0.7027,0.75214505,-0.025385151,-0.33927582,0.039449156,0.025625892,0.024003746
3,0,0.70571,0.75674063,-0.023388302,-0.33804906,0.039128393,0.024761196,0.023982118
3,0,0.70871,0.76118263,-0.021280333,-0.33685369,0.038824841,0.023945216,0.023943485
3,0,0.71171,0.76542555,-0.019115204,-0.33569367,0.038563944,0.0231584,0.023885317
3,0,0.71471,0.76940385,-0.016968111,-0.334582,0.038390251,0.022382746,0.023803479
3,0,0.71772,0.77305624,-0.014922753,-0.33353498,0.038371375,0.021600458,0.023691222
3,0,0.72072,0.77627331,-0.013097119,-0.33258784,0.038603365,0.020809612,0.023540196
3,0,0.72372,0.77896314,-0.01159956,-0.33177578,0.039216238,0.020014911,0.023337668
3,0,0.72673,0.78099592,-0.010549668,-0.33114869,0.040387402,0.019242926,0.023066226
3,0,0.72973,0.78427351,-0.009443668,-0.33041319,0.040781498,0.018602737,0.022889973
3,0,0.73273,0.78796986,-0.008303279,-0.32981879,0.040589734,0.018075874,0.022421016
3,0,0.73574,0.79148967,-0.0073029678,-0.32936603,0.040454739,0.017630868,0.021725449
3,0,0.73874,0.79490678,-0.0064535349,-0.32894408,0.040470662,0.017263629,0.020943443
3,0,0.74174,0.79831007,-0.0057551465,-0.32847237,0.040643057,0.01696667,0.020155356
3,0,0.74474,0.80175716,-0.0052095635,-0.32790158,0.04092574,0.016733337,0.019405275
3,0,0.74775,0.80529948,-0.0048145616,-0.3272046,0.041248098,0.016554523,0.01870868
3,0,0.75075,0.8089363,-0.0045682386,-0.32638153,0.041530885,0.016420343,0.018071118
3,0,0.75375,0.81268703,-0.0044611815,-0.32544134,0.041707389,0.016316692,0.017481898
3,0,0.75676,0.81655947,-0.004482868,-0.32440276,0.04172784,0.01622801,0.016927467
3,0,0.75976,0.82051171,-0.0046200447,-0.32330243,0.041565379,0.016138609,0.016400287
